STUDENT_ID;GRADE_PERCENT;DDATE
3050120;30;22.10.2022
2867883;0;22.10.2022
3050096;8;22.10.2022
3050071;7.000000000000001;22.10.2022
3050050;29;22.10.2022
2887375;0;22.10.2022
805276;0;22.10.2022
3029819;7.000000000000001;22.10.2022
3049968;0;22.10.2022
3049933;0;22.10.2022
3049926;0;22.10.2022
3049911;5;22.10.2022
3049900;0;22.10.2022
3049894;0;22.10.2022
2700901;2;22.10.2022
3049858;7.000000000000001;22.10.2022
3049781;0;22.10.2022
3049758;0;22.10.2022
3051201;15;22.10.2022
3051195;6;22.10.2022
3023084;20;22.10.2022
3051169;0;22.10.2022
3051108;12;22.10.2022
3051100;0;22.10.2022
2700823;0;22.10.2022
3051085;30;22.10.2022
2493774;2;22.10.2022
1582591;0;22.10.2022
3051046;29;22.10.2022
2893494;28.000000000000004;22.10.2022
3050999;0;22.10.2022
3050963;0;22.10.2022
3050957;0;22.10.2022
3050908;25;22.10.2022
3050897;0;22.10.2022
3050894;20;22.10.2022
3050873;29;22.10.2022
3050852;16;22.10.2022
3050830;0;22.10.2022
297699;28.000000000000004;22.10.2022
3050756;0;22.10.2022
3050734;6;22.10.2022
3050725;0;22.10.2022
2700727;0;22.10.2022
3050667;18;22.10.2022
3050643;0;22.10.2022
3050631;0;22.10.2022
3050617;0;22.10.2022
3050596;18;22.10.2022
3050525;0;22.10.2022
3023021;12;22.10.2022
3050498;6;22.10.2022
3050490;0;22.10.2022
3050484;6;22.10.2022
3050464;0;22.10.2022
2736498;13;22.10.2022
2547315;0;22.10.2022
3050389;0;22.10.2022
1593147;0;22.10.2022
2681031;0;22.10.2022
1523450;0;22.10.2022
3023005;0;22.10.2022
3050321;5;22.10.2022
3050294;6;22.10.2022
3050270;5;22.10.2022
3050239;0;22.10.2022
3050215;16;22.10.2022
2700591;0;22.10.2022
3050177;0;22.10.2022
3050152;9;22.10.2022
3050139;21;22.10.2022
3050100;2;22.10.2022
3050097;0;22.10.2022
3050088;0;22.10.2022
3050021;0;22.10.2022
3049998;8;22.10.2022
1534284;0;22.10.2022
3022984;0;22.10.2022
3049916;0;22.10.2022
3049913;0;22.10.2022
1579458;10;22.10.2022
3049844;0;22.10.2022
3049841;8;22.10.2022
2778337;0;22.10.2022
3049833;30;22.10.2022
3049760;0;22.10.2022
3049747;22;22.10.2022
3022975;1;22.10.2022
3050890;0;25.10.2022
3218254;26;25.10.2022
3050881;0;25.10.2022
3049735;0;25.10.2022
3050842;29;25.10.2022
3050831;0;25.10.2022
3050827;8;25.10.2022
2701102;0;25.10.2022
3050804;0;25.10.2022
3050671;2;25.10.2022
3050633;0;25.10.2022
3050622;17;25.10.2022
3050578;5;25.10.2022
3199808;8;25.10.2022
1553881;0;25.10.2022
680233;14.000000000000002;25.10.2022
3050526;4;25.10.2022
3050505;2;25.10.2022
3050474;1;25.10.2022
3050459;0;25.10.2022
3050420;0;25.10.2022
3050409;21;25.10.2022
3050406;9;25.10.2022
3050381;30;25.10.2022
3050378;0;25.10.2022
3050332;0;25.10.2022
3023073;0;25.10.2022
3050302;0;25.10.2022
1523104;0;25.10.2022
2700988;29;25.10.2022
3050278;0;25.10.2022
3050267;9;25.10.2022
3050244;22;25.10.2022
3050105;0;25.10.2022
3050082;0;25.10.2022
2978859;1;25.10.2022
3050061;23;25.10.2022
3050053;0;25.10.2022
3050037;12;25.10.2022
2736488;0;25.10.2022
3049954;17;25.10.2022
3049929;24;25.10.2022
3049923;0;25.10.2022
3049852;11;25.10.2022
3049819;28.000000000000004;25.10.2022
2700881;0;25.10.2022
3049801;23;25.10.2022
3023052;0;25.10.2022
3049771;0;25.10.2022
3049748;8;25.10.2022
3023048;12;25.10.2022
3051197;6;25.10.2022
3051163;0;25.10.2022
3051140;0;25.10.2022
3023039;0;25.10.2022
3051098;2;25.10.2022
3051096;0;25.10.2022
3051090;12;25.10.2022
2493774;5;25.10.2022
3051081;0;25.10.2022
3023036;0;25.10.2022
3051055;0;25.10.2022
3051052;9;25.10.2022
3051040;30;25.10.2022
3023034;9;25.10.2022
3051011;0;25.10.2022
3050951;17;25.10.2022
3023033;0;25.10.2022
3050765;5;25.10.2022
2700733;17;25.10.2022
3050730;27;25.10.2022
3050667;18;25.10.2022
3050651;0;25.10.2022
3050609;0;25.10.2022
3035472;30;25.10.2022
3050542;8;25.10.2022
3050533;2;25.10.2022
3023016;29;25.10.2022
3050456;30;25.10.2022
3023015;0;25.10.2022
2736498;13;25.10.2022
3050433;2;25.10.2022
3050367;0;25.10.2022
1373114;0;25.10.2022
2722869;0;25.10.2022
3050282;0;25.10.2022
3001026;0;25.10.2022
3050254;0;25.10.2022
3050251;30;25.10.2022
3050239;0;25.10.2022
3050224;0;25.10.2022
1485366;0;25.10.2022
3022996;25;25.10.2022
3050186;0;25.10.2022
3227723;0;25.10.2022
2656097;22;25.10.2022
3050139;21;25.10.2022
3050070;23;25.10.2022
3050068;15;25.10.2022
3050056;27;25.10.2022
3022989;0;25.10.2022
3050025;0;25.10.2022
2700560;2;25.10.2022
3050011;0;25.10.2022
3049973;0;25.10.2022
3049949;30;25.10.2022
3049940;0;25.10.2022
3049884;10;25.10.2022
3049841;15;25.10.2022
1683974;0;25.10.2022
3049820;2;25.10.2022
3049817;1;25.10.2022
